"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Tests","Widgets","Date Picker","0","1","1","0","0"
"UI Tests","Elements","Links","0","0","9","0","0"
"UI Tests","Elements","Check Box","0","0","1","0","0"
"UI Tests","Widgets","Accordian","0","0","3","0","0"
"UI Tests","Elements","Upload and Download","0","1","1","0","0"
"UI Tests","Elements","Radio Button","0","0","2","1","0"
"UI Tests","Widgets","Tool Tips","0","1","0","0","0"
"UI Tests","Elements","Text Box","0","0","1","0","0"
"UI Tests","Alerts, Frame & Windows","Alerts","0","0","4","0","0"
"UI Tests","Widgets","Auto Complete","0","0","3","0","0"
"API Tests","Book Store","","0","0","4","2","0"
"UI Tests","Elements","Web Tables","0","0","5","0","0"
"UI Tests","Interactions","Droppable","0","0","4","0","0"
"UI Tests","Alerts, Frame & Windows","Nested Frames","0","0","1","0","0"
"UI Tests","Widgets","Progress Bar","0","0","1","0","0"
"UI Tests","Widgets","Select Menu","0","0","4","0","0"
"UI Tests","Alerts, Frame & Windows","Frames","0","0","1","0","0"
"UI Tests","Interactions","Dragabble","1","0","2","0","0"
"UI Tests","Elements","Buttons","0","0","3","0","0"
"API Tests","Account","","0","0","2","0","0"
"UI Tests","Interactions","Resizable","1","0","1","0","0"
"UI Tests","Elements","Dynamic Properties","0","2","1","0","0"
"UI Tests","Widgets","Single color name field","0","0","1","0","0"
"UI Tests","Widgets","Slider","0","0","1","0","0"
"UI Tests","Book Store Application","Login","0","0","1","0","0"
"UI Tests","Interactions","Selectable","0","0","1","0","0"
"UI Tests","Widgets","Menu","0","0","1","0","0"
"UI Tests","Interactions","Sortable","0","0","1","0","0"
"UI Tests","Alerts, Frame & Windows","Browser Windows","0","0","2","0","0"
"UI Tests","Forms","Practice Form","0","0","1","0","0"
"UI Tests","Alerts, Frame & Windows","Modal Dialogs","0","0","1","1","0"
"UI Tests","Widgets","Tabs","0","0","0","1","0"
